lon,lat,iso3c,data_quality
147.98035,-42.53284,AUS,5
147.7256,-43.09697,AUS,5
147.71461,-43.10148,AUS,5
147.69196,-43.107,AUS,5
147.62878,-43.13456,AUS,5
147.86739,-43.13206,AUS,5
147.45747,-43.22544,AUS,5
147.44991,-43.20543,AUS,5
147.44717,-43.1859,AUS,5
147.44099,-43.16913,AUS,5
147.42451,-43.11552,AUS,5
147.27036,-43.05584,AUS,5
147.30812,-43.06036,AUS,5
147.30263,-43.09296,AUS,5
147.29027,-43.109,AUS,5
147.32391,-43.14684,AUS,5
147.29816,-43.13607,AUS,5
147.2858,-43.1814,AUS,5
147.28821,-43.24395,AUS,5
147.28357,-43.25608,AUS,5
147.22813,-43.31569,AUS,5
147.13028,-43.41502,AUS,5
147.13715,-43.38908,AUS,5
147.06642,-43.381100000000004,AUS,5
147.11861,-43.35814,AUS,5
147.14745,-43.33567,AUS,5
147.0472,-43.34615,AUS,5
147.02797,-43.33716,AUS,5
147.08084,-43.31469,AUS,5
147.10625,-43.30769,AUS,5
147.11517,-43.2937,AUS,5
147.10968,-43.26446,AUS,5
147.07844,-43.26521,AUS,5
147.06917,-43.2497,AUS,5
147.00497,-43.21343,AUS,5
147.01904,-43.20292,AUS,5
146.98986,-43.19266,AUS,5
146.98231,-43.1839,AUS,5
145.30586,-42.27274,AUS,5
145.32166,-42.2599,AUS,5
145.33813,-42.27629,AUS,5
145.34981,-42.29204,AUS,5
145.32646,-42.30677,AUS,5
145.31479,-42.3022,AUS,5
145.37109,-42.3022,AUS,5
145.38277,-42.31489,AUS,5
145.35667,-42.33317,AUS,5
145.39169,-42.33215,AUS,5
145.40817,-42.34484,AUS,5
146.91364,-41.1647,AUS,5
