lon,lat,iso3c,data_quality
-80.24742,-2.13254,ECU,2
-80.325486,-2.634347,ECU,2
-79.972397,0.175127,ECU,2
-79.927336,0.287307,ECU,2
-79.921113,0.249799,ECU,2
-79.997319,0.283229,ECU,2
-80.005473,0.317647,ECU,2
-80.00101,0.251472,ECU,2
-80.270556,-2.667778,ECU,2
-79.943981,-2.484561,ECU,2
-80.023314,-2.470406,ECU,2
-79.983422,-2.437753,ECU,2
-79.766772,-2.788469,ECU,2
-80.142203,-2.468786,ECU,2
-80.558194,-2.480147,ECU,2
-79.816586,-2.290467,ECU,2
-80.045417,0.464072,ECU,2
-80.000833,-2.574781,ECU,2
-80.187783,-2.992803,ECU,2
-80.187783,-2.992803,ECU,2
-80.071275,-3.452103,ECU,2
-80.224383,-3.012578,ECU,2
-80.224383,-3.012578,ECU,2
-80.607276,-2.450972,ECU,2
-79.860214,-2.286731,ECU,2
-79.866298,-2.264349,ECU,2
-79.859119,-2.288094,ECU,2
-79.883275,-2.377756,ECU,2
-79.859022,-2.286481,ECU,2
-80.633797,-2.42799,ECU,2
-79.828381,-2.238693,ECU,2
-79.61735,-2.670838,ECU,2
-79.995128,-2.523639,ECU,2
-80.035094,-2.590506,ECU,2
-80.035094,-2.590506,ECU,2
-80.035094,-2.590506,ECU,2
-80.164842,-2.460953,ECU,2
-80.161542,-2.475353,ECU,2
-80.163622,-2.475353,ECU,2
-79.963975,-2.581458,ECU,2
-80.349763,-0.634573,ECU,2
-80.385704,-0.624624,ECU,2
-80.388858,-0.614797,ECU,2
-80.392844,-0.62043,ECU,2
-80.388035,-0.633579,ECU,2
-79.869214,-2.364628,ECU,2
-79.756536,-2.766581,ECU,2
-79.86265,-2.4377,ECU,2
-79.814908,-2.341703,ECU,2
-79.813408,-2.328156,ECU,2
-79.922589,-2.511967,ECU,2
-79.922589,-2.511967,ECU,2
-80.021494,-2.290592,ECU,2
-80.021494,-2.290592,ECU,2
-80.028358,-2.606158,ECU,2
-80.028358,-2.606158,ECU,2
-79.963194,0.247472,ECU,2
-79.964278,0.235194,ECU,2
-79.956805,0.227277,ECU,2
-79.957638,0.2395,ECU,2
-79.965,0.226944,ECU,2
-79.981611,0.231277,ECU,2
-79.938975,0.211606,ECU,2
-79.903944,0.245833,ECU,2
-80.003611,0.158333,ECU,2
-80.007361,0.129111,ECU,2
-80.023138,0.125138,ECU,2
-79.822725,-2.481078,ECU,2
-80.035094,-2.590506,ECU,2
-80.146826,-2.543813,ECU,2
-79.752065,-2.371404,ECU,2
-80.126753,-2.497036,ECU,2
-80.121214,-2.490667,ECU,2
-80.134708,-2.503639,ECU,2
-80.135197,-2.479525,ECU,2
